mutation,day,mouse,het_bulk,tissue
m.5019,E8.5,embryo1,52,unknown
m.5019,E8.5,embryo1,53,unknown
m.5019,E8.5,embryo1,53,unknown
m.5019,E8.5,embryo1,53,unknown
m.5019,E8.5,embryo1,52,unknown
m.5019,E8.5,embryo1,47,unknown
m.5019,E8.5,embryo1,47,unknown
m.5019,E8.5,embryo1,49,unknown
m.5019,E8.5,embryo2,69,unknown
m.5019,E8.5,embryo2,69,unknown
m.5019,E8.5,embryo2,72,unknown
m.5019,E8.5,embryo2,72,unknown
m.5019,E8.5,embryo2,74,unknown
m.5019,E8.5,embryo2,72,unknown
m.5019,E8.5,embryo2,73,unknown
m.5019,E8.5,embryo2,70,unknown
m.5019,E8.5,embryo3,66,unknown
m.5019,E8.5,embryo3,71,unknown
m.5019,E8.5,embryo3,67,unknown
m.5019,E8.5,embryo3,65,unknown
m.5019,E8.5,embryo3,66,unknown
m.5019,E8.5,embryo3,65,unknown
m.5019,E8.5,embryo3,63,unknown
m.5019,E8.5,embryo3,63,unknown
m.5024,E8.5,embryo1,61,unknown
m.5024,E8.5,embryo1,63,unknown
m.5024,E8.5,embryo1,60,unknown
m.5024,E8.5,embryo1,60,unknown
m.5024,E8.5,embryo1,61,unknown
m.5024,E8.5,embryo1,59,unknown
m.5024,E8.5,embryo1,60,unknown
m.5024,E8.5,embryo1,64,unknown
m.5024,E8.5,embryo2,53,unknown
m.5024,E8.5,embryo2,52,unknown
m.5024,E8.5,embryo2,51,unknown
m.5024,E8.5,embryo2,51,unknown
m.5024,E8.5,embryo2,50,unknown
m.5024,E8.5,embryo2,50,unknown
m.5024,E8.5,embryo2,51,unknown
m.5024,E8.5,embryo2,47,unknown
m.5024,E8.5,embryo3,60,unknown
m.5024,E8.5,embryo3,55,unknown
m.5024,E8.5,embryo3,55,unknown
m.5024,E8.5,embryo3,59,unknown
m.5024,E8.5,embryo3,59,unknown
m.5024,E8.5,embryo3,55,unknown
m.5024,E8.5,embryo3,59,unknown
m.5024,E8.5,embryo3,54,unknown
m.5024,E8.5,embryo3,58,unknown
m.5024,E8.5,embryo3,56,unknown
m.5024,E8.5,embryo3,58,unknown
