day,mutation,embryo_id,rep_1_1,rep_1_2,rep_2_1,rep_2_2,rep_3_1,rep_3_2
E8.5,m5024,embryo_1,53,52,52,52,52,50
E8.5,m5024,embryo_1,69,69,62,60,60,59
E8.5,m5024,embryo_1,66,65,67,66,64,61
E8.5,m5024,embryo_1,60,61,63,63,62,59
E8.5,m5024,embryo_1,55,NA,54,55,56,52
E8.5,m5024,embryo_1,64,64,66,66,59,57
E8.5,m5024,embryo_1,70,70,64,65,64,60
E8.5,m5024,embryo_1,65,67,57,57,64,59
E8.5,m5024,embryo_1,65,67,75,75,68,68
E8.5,m5024,embryo_1,57,57,62,62,55,54
E8.5,m5024,embryo_1,48,47,60,61,62,60
E8.5,m5024,embryo_1,58,58,60,60,65,61
E8.5,m5024,embryo_1,70,71,66,66,62,63
E8.5,m5024,embryo_1,60,59,50,49,52,52
E8.5,m5024,embryo_1,51,51,55,57,57,54
E8.5,m5024,embryo_1,61,62,57,59,62,61
E8.5,m5024,embryo_1,71,71,73,70,67,64
E8.5,m5024,embryo_1,67,67,70,68,66,64
E8.5,m5024,embryo_1,55,56,56,56,59,57
E8.5,m5024,embryo_1,63,63,55,55,68,64
E8.5,m5024,embryo_1,60,60,54,49,65,66
E8.5,m5024,embryo_1,46,46,60,59,64,62
E8.5,m5024,embryo_1,67,68,64,62,63,64
E8.5,m5024,embryo_1,60,58,60,57,57,57
E8.5,m5024,embryo_1,62,63,67,64,44,46
E8.5,m5024,embryo_1,68,67,63,60,62,62
E8.5,m5024,embryo_1,56,58,62,61,64,63
E8.5,m5024,embryo_1,58,58,60,58,65,63
E8.5,m5024,embryo_1,72,71,66,66,NA,NA
E8.5,m5024,embryo_1,60,59,55,NA,NA,NA
E8.5,m5024,embryo_1,59,61,60,59,NA,NA
E8.5,m5024,embryo_1,43,NA,43,NA,NA,NA
