mutation,day,mouse,tissue,cell_type,kimura_p,kimura_b,p.value
m.5019,E8.5,Embryo 1,Unknown,Unknown,0.53,0.972,0.944
m.5019,E8.5,Embryo 2,Unknown,Unknown,0.725,0.979,0.857
m.5019,E8.5,Embryo 3,Unknown,Unknown,0.654,0.986,0.454
m.5019,P0,Mouse 1,Brain,ACSA-1 & PROM +ve,0.693,0.959,0.613
m.5019,P0,Mouse 1,Brain,ACSA-1 +ve,0.67,0.943,0.915
m.5019,P0,Mouse 1,Spleen,CD19 -ve,0.652,0.89,0.996
m.5019,P0,Mouse 1,Spleen,CD19 +ve,0.724,0.805,0.983
m.5019,P0,Mouse 2,Brain,ACSA-1 & PROM +ve,0.586,0.947,0.95
m.5019,P0,Mouse 2,Brain,ACSA-1 +ve,0.603,0.927,0.624
m.5019,P0,Mouse 2,Spleen,CD19 -ve,0.569,0.927,0.98
m.5019,P0,Mouse 2,Spleen,CD19 +ve,0.565,0.906,0.887
m.5019,P0,Mouse 3,Brain,ACSA-1 & PROM +ve,0.584,0.95,0.806
m.5019,P0,Mouse 3,Brain,ACSA-1 +ve,0.612,0.917,0.657
m.5019,P0,Mouse 3,Spleen,CD19 -ve,0.595,0.813,0.915
m.5019,P0,Mouse 3,Spleen,CD19 +ve,0.641,0.904,0.944
m.5019,P100,Mouse 1,Brain,ACSA-1 +ve,0.901,0.877,1
m.5019,P100,Mouse 1,Spleen,CD19 -ve,0.878,0.831,0.328
m.5019,P100,Mouse 1,Spleen,CD19 +ve,0.827,0.807,0.951
m.5019,P100,Mouse 1,Brain,PSD95 +ve,0.85,0.793,0.945
m.5019,P100,Mouse 2,Brain,ACSA-1 +ve,0.814,0.765,0.983
m.5019,P100,Mouse 2,Spleen,CD19 -ve,0.768,0.781,0.999
m.5019,P100,Mouse 2,Spleen,CD19 +ve,0.821,0.772,1
m.5019,P100,Mouse 2,Brain,PSD95 +ve,0.848,0.725,0.401
m.5019,P100,Mouse 3,Brain,ACSA-1 +ve,0.908,0.763,0.001
m.5019,P100,Mouse 3,Spleen,CD19 -ve,0.834,0.832,0.83
m.5019,P100,Mouse 3,Spleen,CD19 +ve,0.874,0.864,0.985
m.5019,P100,Mouse 3,Brain,PSD95 +ve,0.877,0.791,0.603
m.5019,P365,Mouse 1,Brain,ACSA-1 +ve,0.812,0.428,0.998
m.5019,P365,Mouse 1,Spleen,CD19 -ve,0.755,0.518,0.99
m.5019,P365,Mouse 1,Spleen,CD19 +ve,0.857,0.675,0.991
m.5019,P365,Mouse 1,Brain,PSD95 +ve,0.847,0.499,0.954
m.5019,P365,Mouse 2,Brain,ACSA-1 +ve,0.825,0.734,0.781
m.5019,P365,Mouse 2,Spleen,CD19 -ve,0.804,0.566,0.988
m.5019,P365,Mouse 2,Spleen,CD19 +ve,0.737,0.572,0.922
m.5019,P365,Mouse 2,Brain,PSD95 +ve,0.77,0.641,0.99
m.5019,P365,Mouse 3,Brain,ACSA-1 +ve,0.884,0.556,0.82
m.5019,P365,Mouse 3,Spleen,CD19 -ve,0.761,0.488,1
m.5019,P365,Mouse 3,Spleen,CD19 +ve,0.8,0.578,0.94
m.5019,P365,Mouse 3,Brain,PSD95 +ve,0.886,0.62,0.883
